,test,case,Line
0,test_add,empty_data,Line 3067
1,test_add,columns_only,Line 3108
2,test_div,empty_data,Line 3174
3,test_div,columns_only,Line 3215
4,test_divide,columns_only,Line 3281
5,test_divide,empty_data,Line 3347
6,test_floordiv,empty_data,Line 3388
7,test_floordiv,columns_only,Line 3429
8,test_mod,columns_only,Line 3495
9,test_mod,empty_data,Line 3561
10,test_mul,empty_data,Line 3602
11,test_mul,columns_only,Line 3643
12,test_multiply,columns_only,Line 3709
13,test_multiply,empty_data,Line 3775
14,test_pow,empty_data,Line 3816
15,test_pow,columns_only,Line 3853
16,test_sub,columns_only,Line 3927
17,test_sub,empty_data,Line 3993
18,test_subtract,empty_data,Line 4034
19,test_subtract,columns_only,Line 4075
20,test_truediv,columns_only,Line 4141
21,test_truediv,empty_data,Line 4207
22,test___div__,empty_data,Line 4248
23,test___div__,columns_only,Line 4289
24,test_eq,columns_only,Line 4355
25,test_eq,empty_data,Line 4421
26,test_ge,empty_data,Line 4462
27,test_ge,columns_only,Line 4503
28,test_gt,columns_only,Line 4569
29,test_gt,empty_data,Line 4635
30,test_le,empty_data,Line 4676
31,test_le,columns_only,Line 4717
32,test_lt,columns_only,Line 4783
33,test_lt,empty_data,Line 4849
34,test_ne,empty_data,Line 4890
35,test_ne,columns_only,Line 4931
36,test_radd,columns_only,Line 4997
37,test_rfloordiv,columns_only,Line 5063
38,test_rdiv,columns_only,Line 5129
39,test_rmul,columns_only,Line 5195
40,test_rmod,columns_only,Line 5261
41,test_rsub,columns_only,Line 5327
42,test_rpow,columns_only,Line 5393
43,test___rsub__,columns_only,Line 5463
44,test_abs,empty_data,Line 5529
45,test_applymap_numeric,plus one-columns_only,Line 5565
46,test_applymap_numeric,convert to string-columns_only,Line 5642
47,test_applymap_numeric,square-columns_only,Line 5719
48,test_applymap_numeric,identity-columns_only,Line 5796
49,test_applymap_numeric,return false-columns_only,Line 5873
50,test_at,columns_only,Line 5950
51,test_at,empty_data,Line 5998
52,test_get,col2-columns_only,Line 6038
53,test_get,B-columns_only,Line 6085
54,test_get,col1-columns_only,Line 6132
55,test_get_dummies,drop_first True-dummy_na True-empty_data,Line 6179
56,test_get,A-columns_only,Line 6206
57,test_get,does not exist-columns_only,Line 6253
58,test_get_dummies,drop_first True-dummy_na None-empty_data,Line 6301
59,test_get_dummies,drop_first True-dummy_na False-empty_data,Line 6328
60,test_get_dummies,drop_first False-dummy_na False-empty_data,Line 6355
61,test_get_dummies,drop_first False-dummy_na True-empty_data,Line 6382
62,test_get_dummies,drop_first None-dummy_na True-empty_data,Line 6409
63,test_get_dummies,drop_first False-dummy_na None-empty_data,Line 6436
64,test_get_dummies,drop_first None-dummy_na None-empty_data,Line 6463
65,test_get_dummies,drop_first None-dummy_na False-empty_data,Line 6490
66,test_agg_numeric,sum mean-over rows int-empty_data,Line 6517
67,test_get_ftype_counts,empty_data,Line 6569
68,test_agg_numeric,sum mean-over rows int-columns_only,Line 6637
69,test_agg_numeric,sum mean-over rows str-columns_only,Line 6717
70,test_agg_numeric,sum mean-over columns int-empty_data,Line 6797
71,test_agg_numeric,sum mean-over rows str-empty_data,Line 6856
72,test_agg_numeric,sum mean-over columns str-columns_only,Line 6908
73,test_agg_numeric,sum sum-over rows int-empty_data,Line 6966
74,test_agg_numeric,sum mean-over columns int-columns_only,Line 7018
75,test_agg_numeric,sum mean-over columns str-empty_data,Line 7076
76,test_agg_numeric,sum sum-over rows str-columns_only,Line 7135
77,test_agg_numeric,sum sum-over rows int-columns_only,Line 7215
78,test_agg_numeric,sum sum-over columns int-empty_data,Line 7295
79,test_agg_numeric,sum sum-over rows str-empty_data,Line 7354
80,test_agg_numeric,sum sum-over columns str-columns_only,Line 7406
81,test_agg_numeric,sum df sum-over rows int-empty_data,Line 7464
82,test_agg_numeric,sum sum-over columns int-columns_only,Line 7517
83,test_agg_numeric,sum sum-over columns str-empty_data,Line 7575
84,test_agg_numeric,sum df sum-over rows int-columns_only,Line 7634
85,test_agg_numeric,sum df sum-over rows str-columns_only,Line 7688
86,test_agg_numeric,sum df sum-over columns int-empty_data,Line 7742
87,test_agg_numeric,sum df sum-over rows str-empty_data,Line 7801
88,test_agg_numeric,sum df sum-over columns str-columns_only,Line 7854
89,test_aggregate_numeric,sum mean-over rows int-empty_data,Line 7912
90,test_agg_numeric,sum df sum-over columns int-columns_only,Line 7964
91,test_agg_numeric,sum df sum-over columns str-empty_data,Line 8022
92,test_aggregate_numeric,sum mean-over rows str-columns_only,Line 8082
93,test_aggregate_numeric,sum mean-over rows int-columns_only,Line 8162
94,test_aggregate_numeric,sum mean-over columns int-empty_data,Line 8242
95,test_aggregate_numeric,sum mean-over rows str-empty_data,Line 8301
96,test_aggregate_numeric,sum mean-over columns str-columns_only,Line 8353
97,test_aggregate_numeric,sum sum-over rows int-empty_data,Line 8411
98,test_aggregate_numeric,sum mean-over columns int-columns_only,Line 8463
99,test_aggregate_numeric,sum mean-over columns str-empty_data,Line 8521
100,test_aggregate_numeric,sum sum-over rows str-columns_only,Line 8580
101,test_aggregate_numeric,sum sum-over rows int-columns_only,Line 8660
102,test_aggregate_numeric,sum sum-over columns int-empty_data,Line 8740
103,test_aggregate_numeric,sum sum-over rows str-empty_data,Line 8799
104,test_aggregate_numeric,sum sum-over columns str-columns_only,Line 8851
105,test_aggregate_numeric,sum df sum-over rows int-empty_data,Line 8909
106,test_aggregate_numeric,sum sum-over columns int-columns_only,Line 8962
107,test_aggregate_numeric,sum sum-over columns str-empty_data,Line 9020
108,test_aggregate_numeric,sum df sum-over rows str-columns_only,Line 9079
109,test_aggregate_numeric,sum df sum-over rows int-columns_only,Line 9133
110,test_aggregate_numeric,sum df sum-over columns int-empty_data,Line 9187
111,test_aggregate_numeric,sum df sum-over rows str-empty_data,Line 9246
112,test_aggregate_numeric,sum df sum-over columns str-columns_only,Line 9299
113,test_all,bool_only True-skipna True-over columns int-columns_only,Line 9357
114,test_all,bool_only True-skipna True-over columns str-empty_data,Line 9401
115,test_aggregate_numeric,sum df sum-over columns int-columns_only,Line 9444
116,test_all,bool_only True-skipna False-over columns int-columns_only,Line 9502
117,test_aggregate_numeric,sum df sum-over columns str-empty_data,Line 9546
118,test_all,bool_only True-skipna False-over columns str-empty_data,Line 9606
119,test_all,bool_only True-skipna True-over columns int-empty_data,Line 9649
120,test_all,bool_only True-skipna None-over columns int-columns_only,Line 9692
121,test_all,bool_only True-skipna True-over columns str-columns_only,Line 9736
122,test_all,bool_only True-skipna None-over columns str-empty_data,Line 9780
123,test_all,bool_only False-skipna True-over rows int-columns_only,Line 9823
124,test_all,bool_only True-skipna False-over columns int-empty_data,Line 9867
125,test_all,bool_only False-skipna True-over rows str-empty_data,Line 9910
126,test_all,bool_only True-skipna False-over columns str-columns_only,Line 9953
127,test_all,bool_only False-skipna True-over columns int-columns_only,Line 9997
128,test_all,bool_only True-skipna None-over columns int-empty_data,Line 10041
129,test_all,bool_only False-skipna True-over columns str-empty_data,Line 10084
130,test_all,bool_only True-skipna None-over columns str-columns_only,Line 10127
131,test_all,bool_only False-skipna False-over rows int-columns_only,Line 10171
132,test_all,bool_only False-skipna True-over rows int-empty_data,Line 10215
133,test_all,bool_only False-skipna False-over rows str-empty_data,Line 10258
134,test_all,bool_only False-skipna True-over rows str-columns_only,Line 10301
135,test_all,bool_only False-skipna False-over columns int-columns_only,Line 10345
136,test_all,bool_only False-skipna True-over columns int-empty_data,Line 10389
137,test_all,bool_only False-skipna False-over columns str-empty_data,Line 10432
138,test_all,bool_only False-skipna True-over columns str-columns_only,Line 10475
139,test_all,bool_only False-skipna False-over rows int-empty_data,Line 10519
140,test_all,bool_only False-skipna None-over rows int-columns_only,Line 10562
141,test_all,bool_only False-skipna None-over rows str-empty_data,Line 10606
142,test_all,bool_only False-skipna False-over rows str-columns_only,Line 10649
143,test_all,bool_only False-skipna None-over columns int-columns_only,Line 10693
144,test_all,bool_only False-skipna False-over columns int-empty_data,Line 10737
145,test_all,bool_only False-skipna None-over columns str-empty_data,Line 10780
146,test_all,bool_only False-skipna False-over columns str-columns_only,Line 10823
147,test_all,bool_only False-skipna None-over rows int-empty_data,Line 10867
148,test_all,bool_only None-skipna True-over rows int-columns_only,Line 10910
149,test_all,bool_only False-skipna None-over rows str-columns_only,Line 10954
150,test_all,bool_only None-skipna True-over rows str-empty_data,Line 10998
151,test_all,bool_only False-skipna None-over columns int-empty_data,Line 11041
152,test_all,bool_only None-skipna True-over columns int-columns_only,Line 11084
153,test_all,bool_only False-skipna None-over columns str-columns_only,Line 11128
154,test_all,bool_only None-skipna True-over columns str-empty_data,Line 11172
155,test_all,bool_only None-skipna True-over rows int-empty_data,Line 11215
156,test_all,bool_only None-skipna False-over rows int-columns_only,Line 11258
157,test_all,bool_only None-skipna True-over rows str-columns_only,Line 11302
158,test_all,bool_only None-skipna False-over rows str-empty_data,Line 11346
159,test_all,bool_only None-skipna True-over columns int-empty_data,Line 11389
160,test_all,bool_only None-skipna False-over columns int-columns_only,Line 11432
161,test_all,bool_only None-skipna True-over columns str-columns_only,Line 11476
162,test_all,bool_only None-skipna False-over columns str-empty_data,Line 11520
163,test_all,bool_only None-skipna False-over rows int-empty_data,Line 11563
164,test_all,bool_only None-skipna None-over rows int-columns_only,Line 11606
165,test_all,bool_only None-skipna None-over rows str-empty_data,Line 11650
166,test_all,bool_only None-skipna False-over rows str-columns_only,Line 11693
167,test_all,bool_only None-skipna False-over columns int-empty_data,Line 11737
168,test_all,bool_only None-skipna None-over columns int-columns_only,Line 11780
169,test_all,bool_only None-skipna None-over columns str-empty_data,Line 11824
170,test_all,bool_only None-skipna False-over columns str-columns_only,Line 11867
171,test_all,bool_only None-skipna None-over rows int-empty_data,Line 11911
172,test_any,bool_only True-skipna True-over columns int-columns_only,Line 11954
173,test_all,bool_only None-skipna None-over rows str-columns_only,Line 11998
174,test_any,bool_only True-skipna True-over columns str-empty_data,Line 12042
175,test_all,bool_only None-skipna None-over columns int-empty_data,Line 12085
176,test_all,bool_only None-skipna None-over columns str-columns_only,Line 12128
177,test_any,bool_only True-skipna False-over columns int-columns_only,Line 12172
178,test_any,bool_only True-skipna False-over columns str-empty_data,Line 12216
179,test_any,bool_only True-skipna True-over columns int-empty_data,Line 12259
180,test_any,bool_only True-skipna True-over columns str-columns_only,Line 12302
181,test_any,bool_only True-skipna None-over columns int-columns_only,Line 12346
182,test_any,bool_only True-skipna None-over columns str-empty_data,Line 12390
183,test_any,bool_only True-skipna False-over columns int-empty_data,Line 12433
184,test_any,bool_only False-skipna True-over rows int-columns_only,Line 12476
185,test_any,bool_only True-skipna False-over columns str-columns_only,Line 12520
186,test_any,bool_only False-skipna True-over rows str-empty_data,Line 12564
187,test_any,bool_only False-skipna True-over columns int-columns_only,Line 12607
188,test_any,bool_only True-skipna None-over columns int-empty_data,Line 12651
189,test_any,bool_only False-skipna True-over columns str-empty_data,Line 12694
190,test_any,bool_only True-skipna None-over columns str-columns_only,Line 12737
191,test_any,bool_only False-skipna False-over rows int-columns_only,Line 12781
192,test_any,bool_only False-skipna True-over rows int-empty_data,Line 12825
193,test_any,bool_only False-skipna True-over rows str-columns_only,Line 12868
194,test_any,bool_only False-skipna False-over rows str-empty_data,Line 12912
195,test_any,bool_only False-skipna True-over columns int-empty_data,Line 12955
196,test_any,bool_only False-skipna False-over columns int-columns_only,Line 12998
197,test_any,bool_only False-skipna False-over columns str-empty_data,Line 13042
198,test_any,bool_only False-skipna True-over columns str-columns_only,Line 13085
199,test_any,bool_only False-skipna None-over rows int-columns_only,Line 13129
200,test_any,bool_only False-skipna False-over rows int-empty_data,Line 13173
201,test_any,bool_only False-skipna None-over rows str-empty_data,Line 13216
202,test_any,bool_only False-skipna False-over rows str-columns_only,Line 13259
203,test_any,bool_only False-skipna None-over columns int-columns_only,Line 13303
204,test_any,bool_only False-skipna False-over columns int-empty_data,Line 13347
205,test_any,bool_only False-skipna None-over columns str-empty_data,Line 13390
206,test_any,bool_only False-skipna False-over columns str-columns_only,Line 13433
207,test_any,bool_only False-skipna None-over rows int-empty_data,Line 13477
208,test_any,bool_only None-skipna True-over rows int-columns_only,Line 13520
209,test_any,bool_only None-skipna True-over rows str-empty_data,Line 13564
210,test_any,bool_only False-skipna None-over rows str-columns_only,Line 13607
211,test_any,bool_only None-skipna True-over columns int-columns_only,Line 13651
212,test_any,bool_only False-skipna None-over columns int-empty_data,Line 13695
213,test_any,bool_only None-skipna True-over columns str-empty_data,Line 13738
214,test_any,bool_only False-skipna None-over columns str-columns_only,Line 13781
215,test_any,bool_only None-skipna False-over rows int-columns_only,Line 13825
216,test_any,bool_only None-skipna True-over rows int-empty_data,Line 13869
217,test_any,bool_only None-skipna False-over rows str-empty_data,Line 13912
218,test_any,bool_only None-skipna True-over rows str-columns_only,Line 13955
219,test_any,bool_only None-skipna False-over columns int-columns_only,Line 13999
220,test_any,bool_only None-skipna True-over columns int-empty_data,Line 14043
221,test_any,bool_only None-skipna False-over columns str-empty_data,Line 14086
222,test_any,bool_only None-skipna True-over columns str-columns_only,Line 14129
223,test_any,bool_only None-skipna None-over rows int-columns_only,Line 14173
224,test_any,bool_only None-skipna False-over rows int-empty_data,Line 14217
225,test_any,bool_only None-skipna None-over rows str-empty_data,Line 14260
226,test_any,bool_only None-skipna False-over rows str-columns_only,Line 14303
227,test_any,bool_only None-skipna None-over columns int-columns_only,Line 14347
228,test_any,bool_only None-skipna False-over columns int-empty_data,Line 14391
229,test_any,bool_only None-skipna None-over columns str-empty_data,Line 14434
230,test_any,bool_only None-skipna False-over columns str-columns_only,Line 14477
231,test_any,bool_only None-skipna None-over rows int-empty_data,Line 14521
232,test_apply_numeric,over rows int-sum-empty_data,Line 14564
233,test_any,bool_only None-skipna None-over rows str-columns_only,Line 14640
234,test_any,bool_only None-skipna None-over columns int-empty_data,Line 14684
235,test_any,bool_only None-skipna None-over columns str-columns_only,Line 14727
236,test_apply_numeric,over rows int-sum-columns_only,Line 14771
237,test_apply_numeric,over rows int-df sum-columns_only,Line 14848
238,test_apply_numeric,over rows int-df sum-empty_data,Line 14904
239,test_apply_numeric,over rows int-sum mean-empty_data,Line 14959
240,test_apply_numeric,over rows int-sum mean-columns_only,Line 14983
241,test_apply_numeric,over rows int-sum sum-columns_only,Line 15061
242,test_apply_numeric,over rows int-sum sum-empty_data,Line 15139
243,test_apply_numeric,over rows int-sum df sum-empty_data,Line 15163
244,test_apply_numeric,over rows int-sum df sum-columns_only,Line 15187
245,test_apply_numeric,over rows str-sum-columns_only,Line 15212
246,test_apply_numeric,over rows str-sum-empty_data,Line 15289
247,test_apply_numeric,over rows str-df sum-empty_data,Line 15365
248,test_apply_numeric,over rows str-df sum-columns_only,Line 15420
249,test_apply_numeric,over rows str-sum mean-columns_only,Line 15476
250,test_apply_numeric,over rows str-sum mean-empty_data,Line 15554
251,test_apply_numeric,over rows str-sum sum-empty_data,Line 15578
252,test_apply_numeric,over rows str-sum sum-columns_only,Line 15602
253,test_apply_numeric,over rows str-sum df sum-columns_only,Line 15680
254,test_apply_numeric,over rows str-sum df sum-empty_data,Line 15705
255,test_apply_numeric,over columns int-sum-empty_data,Line 15729
256,test_apply_numeric,over columns int-sum-columns_only,Line 15771
257,test_apply_numeric,over columns int-df sum-columns_only,Line 15836
258,test_apply_numeric,over columns int-df sum-empty_data,Line 15892
259,test_apply_numeric,over columns int-sum mean-empty_data,Line 15947
260,test_apply_numeric,over columns int-sum mean-columns_only,Line 16000
261,test_apply_numeric,over columns int-sum sum-columns_only,Line 16052
262,test_apply_numeric,over columns int-sum sum-empty_data,Line 16104
263,test_apply_numeric,over columns int-sum df sum-empty_data,Line 16157
264,test_apply_numeric,over columns int-sum df sum-columns_only,Line 16210
265,test_apply_numeric,over columns str-sum-columns_only,Line 16262
266,test_apply_numeric,over columns str-sum-empty_data,Line 16327
267,test_apply_numeric,over columns str-df sum-empty_data,Line 16369
268,test_apply_numeric,over columns str-df sum-columns_only,Line 16424
269,test_apply_numeric,over columns str-sum mean-columns_only,Line 16480
270,test_apply_numeric,over columns str-sum mean-empty_data,Line 16532
271,test_apply_numeric,over columns str-sum sum-empty_data,Line 16585
272,test_apply_numeric,over columns str-sum sum-columns_only,Line 16638
273,test_apply_numeric,over columns str-sum df sum-columns_only,Line 16690
274,test_apply_numeric,over columns str-sum df sum-empty_data,Line 16742
275,test_clip,over rows int-empty_data,Line 16796
276,test_clip,over rows str-columns_only,Line 16840
277,test_clip,over columns int-empty_data,Line 16920
278,test_clip,over columns str-columns_only,Line 16964
279,test_clip_lower,over rows int-empty_data,Line 17044
280,test_clip_lower,over rows str-columns_only,Line 17090
281,test_clip_lower,over columns int-empty_data,Line 17169
282,test_clip_lower,over columns str-columns_only,Line 17215
283,test_clip_upper,over rows int-empty_data,Line 17294
284,test_clip_upper,over rows str-columns_only,Line 17339
285,test_clip_upper,over columns int-empty_data,Line 17418
286,test_clip_upper,over columns str-columns_only,Line 17463
287,test_count,numeric_only True-over rows int-columns_only,Line 17542
288,test_clip,over rows int-columns_only,Line 17598
289,test_count,numeric_only True-over rows str-empty_data,Line 17678
290,test_count,numeric_only True-over columns int-columns_only,Line 17753
291,test_count,numeric_only True-over columns str-empty_data,Line 17809
292,test_clip,over rows str-empty_data,Line 17884
293,test_count,numeric_only False-over rows int-columns_only,Line 17928
294,test_count,numeric_only False-over rows str-empty_data,Line 17994
295,test_count,numeric_only False-over columns int-columns_only,Line 18059
296,test_clip,over columns int-columns_only,Line 18125
297,test_count,numeric_only False-over columns str-empty_data,Line 18205
298,test_count,numeric_only None-over rows int-columns_only,Line 18270
299,test_count,numeric_only None-over rows str-empty_data,Line 18336
300,test_clip,over columns str-empty_data,Line 18401
301,test_count,numeric_only None-over columns int-columns_only,Line 18445
302,test_count,numeric_only None-over columns str-empty_data,Line 18511
303,test_clip_lower,over rows int-columns_only,Line 18576
304,test_cummax,skipna True-over columns int-empty_data,Line 18655
305,test_clip_lower,over rows str-empty_data,Line 18696
306,test_clip_lower,over columns int-columns_only,Line 18742
307,test_cummax,skipna False-over columns int-empty_data,Line 18821
308,test_clip_lower,over columns str-empty_data,Line 18862
309,test_clip_upper,over rows int-columns_only,Line 18908
310,test_cummax,skipna None-over columns int-empty_data,Line 18987
311,test_clip_upper,over rows str-empty_data,Line 19028
312,test_clip_upper,over columns int-columns_only,Line 19073
313,test_cummin,skipna True-over columns int-empty_data,Line 19152
314,test_clip_upper,over columns str-empty_data,Line 19193
315,test_cummin,skipna False-over columns int-empty_data,Line 19238
316,test_count,numeric_only True-over rows int-empty_data,Line 19279
317,test_count,numeric_only True-over rows str-columns_only,Line 19354
318,test_count,numeric_only True-over columns int-empty_data,Line 19410
319,test_count,numeric_only True-over columns str-columns_only,Line 19485
320,test_cummin,skipna None-over columns int-empty_data,Line 19541
321,test_count,numeric_only False-over rows int-empty_data,Line 19582
322,test_cumprod,skipna True-over rows int-empty_data,Line 19647
323,test_count,numeric_only False-over rows str-columns_only,Line 19688
324,test_count,numeric_only False-over columns int-empty_data,Line 19754
325,test_count,numeric_only False-over columns str-columns_only,Line 19819
326,test_cumprod,skipna True-over columns int-empty_data,Line 19885
327,test_count,numeric_only None-over rows int-empty_data,Line 19926
328,test_count,numeric_only None-over rows str-columns_only,Line 19991
329,test_cumprod,skipna False-over rows int-empty_data,Line 20057
330,test_count,numeric_only None-over columns int-empty_data,Line 20098
331,test_count,numeric_only None-over columns str-columns_only,Line 20163
332,test_cumprod,skipna False-over columns int-empty_data,Line 20229
333,test_cumprod,skipna None-over rows int-empty_data,Line 20270
334,test_cummax,skipna True-over columns str-empty_data,Line 20311
335,test_cumprod,skipna None-over columns int-empty_data,Line 20352
336,test_cummax,skipna False-over columns str-empty_data,Line 20393
337,test_cumsum,skipna True-over rows int-empty_data,Line 20434
338,test_cumsum,skipna True-over columns int-empty_data,Line 20483
339,test_cummax,skipna None-over columns str-empty_data,Line 20532
340,test_cumsum,skipna False-over rows int-empty_data,Line 20573
341,test_cumsum,skipna False-over columns int-empty_data,Line 20622
342,test_cummin,skipna True-over columns str-empty_data,Line 20671
343,test_cumsum,skipna None-over rows int-empty_data,Line 20712
344,test_cummin,skipna False-over columns str-empty_data,Line 20761
345,test_cumsum,skipna None-over columns int-empty_data,Line 20802
346,test_describe,empty_data,Line 20851
347,test_cummin,skipna None-over columns str-empty_data,Line 20912
348,test_cumprod,skipna True-over rows str-empty_data,Line 20953
349,test_diff,periods -5-over rows int-columns_only,Line 20994
350,test_cumprod,skipna True-over columns str-empty_data,Line 21071
351,test_diff,periods -5-over columns int-columns_only,Line 21112
352,test_cumprod,skipna False-over rows str-empty_data,Line 21189
353,test_diff,periods -1-over rows int-columns_only,Line 21230
354,test_cumprod,skipna False-over columns str-empty_data,Line 21307
355,test_diff,periods -1-over columns int-columns_only,Line 21348
356,test_cumprod,skipna None-over rows str-empty_data,Line 21425
357,test_diff,periods 0-over rows int-columns_only,Line 21466
358,test_diff,periods 0-over columns int-columns_only,Line 21543
359,test_cumprod,skipna None-over columns str-empty_data,Line 21620
360,test_diff,periods 1-over rows int-columns_only,Line 21661
361,test_cumsum,skipna True-over rows str-empty_data,Line 21738
362,test_diff,periods 1-over columns int-columns_only,Line 21787
363,test_cumsum,skipna True-over columns str-empty_data,Line 21864
364,test_diff,periods 5-over rows int-columns_only,Line 21913
365,test_cumsum,skipna False-over rows str-empty_data,Line 21990
366,test_diff,periods 5-over columns int-columns_only,Line 22039
367,test_cumsum,skipna False-over columns str-empty_data,Line 22116
368,test_dropna,any-over rows int-empty_data,Line 22165
369,test_dropna,any-over rows str-columns_only,Line 22221
370,test_cumsum,skipna None-over rows str-empty_data,Line 22281
371,test_dropna,any-over columns int-empty_data,Line 22330
372,test_dropna,any-over columns str-columns_only,Line 22386
373,test_cumsum,skipna None-over columns str-empty_data,Line 22444
374,test_dropna,all-over rows int-empty_data,Line 22493
375,test_describe,columns_only,Line 22549
376,test_dropna,all-over rows str-columns_only,Line 22610
377,test_dropna,all-over columns int-empty_data,Line 22670
378,test_dropna,all-over columns str-columns_only,Line 22726
379,test_dropna_inplace,empty_data,Line 22784
380,test_diff,periods -5-over rows str-columns_only,Line 22838
381,test_diff,periods -5-over columns str-columns_only,Line 22915
382,test_dropna_multiple_axes,columns_only,Line 22992
383,test_diff,periods -1-over rows str-columns_only,Line 23054
384,test_dropna_multiple_axes_inplace,empty_data,Line 23131
385,test_diff,periods -1-over columns str-columns_only,Line 23190
386,test_dropna_subset,columns_only,Line 23267
387,test_diff,periods 0-over rows str-columns_only,Line 23316
388,test_duplicated,empty_data,Line 23393
389,test_diff,periods 0-over columns str-columns_only,Line 23462
390,test_frame_fillna_limit,columns_only,Line 23539
391,test_diff,periods 1-over rows str-columns_only,Line 23608
392,test_diff,periods 1-over columns str-columns_only,Line 23685
393,test_fillna_columns,columns_only,Line 23762
394,test_diff,periods 5-over rows str-columns_only,Line 23829
395,test_filter,columns_only,Line 23906
396,test_diff,periods 5-over columns str-columns_only,Line 23952
397,test_first_valid_index,columns_only,Line 24029
398,test_dropna,any-over rows int-columns_only,Line 24085
399,test_dropna,any-over rows str-empty_data,Line 24145
400,test_dropna,any-over columns int-columns_only,Line 24201
401,test_idxmax,skipna True-over rows int-columns_only,Line 24259
402,test_dropna,any-over columns str-empty_data,Line 24295
403,test_idxmax,skipna True-over rows str-empty_data,Line 24351
404,test_idxmax,skipna True-over columns int-columns_only,Line 24386
405,test_dropna,all-over rows int-columns_only,Line 24422
406,test_idxmax,skipna True-over columns str-empty_data,Line 24482
407,test_idxmax,skipna False-over rows int-columns_only,Line 24517
408,test_dropna,all-over rows str-empty_data,Line 24553
409,test_idxmax,skipna False-over rows str-empty_data,Line 24609
410,test_dropna,all-over columns int-columns_only,Line 24644
411,test_idxmax,skipna False-over columns int-columns_only,Line 24702
412,test_idxmax,skipna False-over columns str-empty_data,Line 24738
413,test_dropna,all-over columns str-empty_data,Line 24773
414,test_idxmax,skipna None-over rows int-columns_only,Line 24829
415,test_idxmax,skipna None-over rows str-empty_data,Line 24865
416,test_idxmax,skipna None-over columns int-columns_only,Line 24900
417,test_dropna_inplace,columns_only,Line 24936
418,test_idxmax,skipna None-over columns str-empty_data,Line 24993
419,test_idxmin,skipna True-over rows int-columns_only,Line 25028
420,test_idxmin,skipna True-over rows str-empty_data,Line 25064
421,test_dropna_multiple_axes,empty_data,Line 25099
422,test_idxmin,skipna True-over columns int-columns_only,Line 25158
423,test_idxmin,skipna True-over columns str-empty_data,Line 25194
424,test_idxmin,skipna False-over rows int-columns_only,Line 25229
425,test_idxmin,skipna False-over rows str-empty_data,Line 25265
426,test_dropna_multiple_axes_inplace,columns_only,Line 25300
427,test_idxmin,skipna False-over columns int-columns_only,Line 25362
428,test_idxmin,skipna False-over columns str-empty_data,Line 25398
429,test_idxmin,skipna None-over rows int-columns_only,Line 25433
430,test_idxmin,skipna None-over rows str-empty_data,Line 25469
431,test_idxmin,skipna None-over columns int-columns_only,Line 25504
432,test_idxmin,skipna None-over columns str-empty_data,Line 25540
433,test_frame_pad_backfill_limit,columns_only,Line 25575
434,test_info,int_data,Line 25644
435,test_info,sparse_nan_data,Line 25683
436,test_insert,loc -5-columns_only,Line 25722
437,test_fillna_skip_certain_blocks,columns_only,Line 25779
438,test_insert,loc -1-empty_data,Line 25844
439,test_insert,loc 0-columns_only,Line 25898
440,test_fillna_col_reordering,columns_only,Line 25955
441,test_insert,loc 1-empty_data,Line 26019
442,test_filter,empty_data,Line 26073
